,일시,수위(EL.m)
0,2012-08-27 01시,5.45
1,2012-08-27 02시,5.45
2,2012-08-27 03시,5.45
3,2012-08-27 04시,5.45
4,2012-08-27 05시,5.45
5,2012-08-27 06시,5.45
6,2012-08-27 07시,5.45
7,2012-08-27 08시,5.45
8,2012-08-27 09시,5.44
9,2012-08-27 10시,5.41
10,2012-08-27 11시,5.34
11,2012-08-27 12시,5.24
12,2012-08-27 13시,5.16
13,2012-08-27 14시,5.1
14,2012-08-27 15시,5.05
15,2012-08-27 16시,5.02
16,2012-08-27 17시,4.98
17,2012-08-27 18시,4.91
18,2012-08-27 19시,4.81
19,2012-08-27 20시,4.72
20,2012-08-27 21시,4.63
21,2012-08-27 22시,4.56
22,2012-08-27 23시,4.6
23,2012-08-27 24시,4.69
24,2012-08-28 01시,4.78
25,2012-08-28 02시,4.87
26,2012-08-28 03시,4.95
27,2012-08-28 04시,5.0
28,2012-08-28 05시,5.01
29,2012-08-28 06시,5.01
30,2012-08-28 07시,4.96
31,2012-08-28 08시,4.87
32,2012-08-28 09시,4.79
33,2012-08-28 10시,4.73
34,2012-08-28 11시,4.73
35,2012-08-28 12시,4.73
36,2012-08-28 13시,4.74
37,2012-08-28 14시,4.77
38,2012-08-28 15시,4.8
39,2012-08-28 16시,4.88
40,2012-08-28 17시,4.93
41,2012-08-28 18시,4.97
42,2012-08-28 19시,5.06
43,2012-08-28 20시,5.14
44,2012-08-28 21시,5.16
45,2012-08-28 22시,5.2
46,2012-08-28 23시,5.28
47,2012-08-28 24시,5.28
48,2012-08-29 01시,5.33
49,2012-08-29 02시,5.4
50,2012-08-29 03시,5.66
51,2012-08-29 04시,5.85
52,2012-08-29 05시,5.98
53,2012-08-29 06시,6.06
54,2012-08-29 07시,6.1
55,2012-08-29 08시,5.91
56,2012-08-29 09시,5.66
57,2012-08-29 10시,5.62
58,2012-08-29 11시,5.58
59,2012-08-29 12시,5.62
60,2012-08-29 13시,5.63
61,2012-08-29 14시,5.63
62,2012-08-29 15시,5.63
63,2012-08-29 16시,5.63
64,2012-08-29 17시,5.61
65,2012-08-29 18시,5.44
66,2012-08-29 19시,5.3
67,2012-08-29 20시,5.21
68,2012-08-29 21시,5.14
69,2012-08-29 22시,5.14
70,2012-08-29 23시,5.19
71,2012-08-29 24시,5.24
72,2012-08-30 01시,5.29
73,2012-08-30 02시,5.33
74,2012-08-30 03시,5.36
75,2012-08-30 04시,5.38
76,2012-08-30 05시,5.39
77,2012-08-30 06시,5.4
78,2012-08-30 07시,5.41
79,2012-08-30 08시,5.41
80,2012-08-30 09시,5.41
81,2012-08-30 10시,5.41
82,2012-08-30 11시,5.33
83,2012-08-30 12시,5.19
84,2012-08-30 13시,5.14
85,2012-08-30 14시,5.16
86,2012-08-30 15시,5.25
87,2012-08-30 16시,5.35
88,2012-08-30 17시,5.42
89,2012-08-30 18시,5.54
90,2012-08-30 19시,5.58
91,2012-08-30 20시,5.63
92,2012-08-30 21시,5.65
93,2012-08-30 22시,5.67
94,2012-08-30 23시,5.69
95,2012-08-30 24시,5.7
96,2012-08-31 01시,5.71
97,2012-08-31 02시,5.78
98,2012-08-31 03시,5.85
99,2012-08-31 04시,5.98
100,2012-08-31 05시,6.08
101,2012-08-31 06시,6.18
102,2012-08-31 07시,6.26
103,2012-08-31 08시,6.33
104,2012-08-31 09시,6.38
105,2012-08-31 10시,6.41
106,2012-08-31 11시,6.43
107,2012-08-31 12시,6.43
108,2012-08-31 13시,6.43
109,2012-08-31 14시,6.41
110,2012-08-31 15시,6.36
111,2012-08-31 16시,6.3
112,2012-08-31 17시,6.22
113,2012-08-31 18시,6.11
114,2012-08-31 19시,6.0
115,2012-08-31 20시,5.92
116,2012-08-31 21시,5.88
117,2012-08-31 22시,5.88
118,2012-08-31 23시,5.81
119,2012-08-31 24시,5.76
120,2012-09-01 01시,5.66
121,2012-09-01 02시,5.58
122,2012-09-01 03시,5.53
123,2012-09-01 04시,5.48
124,2012-09-01 05시,5.44
125,2012-09-01 06시,5.4
126,2012-09-01 07시,5.37
127,2012-09-01 08시,5.34
128,2012-09-01 09시,5.23
129,2012-09-01 10시,5.15
130,2012-09-01 11시,5.07
131,2012-09-01 12시,5.16
132,2012-09-01 13시,5.27
133,2012-09-01 14시,5.35
134,2012-09-01 15시,5.41
135,2012-09-01 16시,5.44
136,2012-09-01 17시,5.47
137,2012-09-01 18시,5.48
138,2012-09-01 19시,5.36
139,2012-09-01 20시,5.21
140,2012-09-01 21시,5.1
141,2012-09-01 22시,5.15
142,2012-09-01 23시,5.26
143,2012-09-01 24시,5.34
144,2012-09-02 01시,5.39
145,2012-09-02 02시,5.43
146,2012-09-02 03시,5.45
147,2012-09-02 04시,5.47
148,2012-09-02 05시,5.48
149,2012-09-02 06시,5.48
150,2012-09-02 07시,5.48
151,2012-09-02 08시,5.48
152,2012-09-02 09시,5.46
153,2012-09-02 10시,5.29
154,2012-09-02 11시,5.2
155,2012-09-02 12시,5.19
156,2012-09-02 13시,5.14
157,2012-09-02 14시,5.13
158,2012-09-02 15시,5.13
159,2012-09-02 16시,5.18
160,2012-09-02 17시,5.23
161,2012-09-02 18시,5.36
162,2012-09-02 19시,5.4
163,2012-09-02 20시,5.46
164,2012-09-02 21시,5.5
165,2012-09-02 22시,5.53
166,2012-09-02 23시,5.52
167,2012-09-02 24시,5.51
168,2012-09-03 01시,5.49
169,2012-09-03 02시,5.47
170,2012-09-03 03시,5.46
171,2012-09-03 04시,5.44
172,2012-09-03 05시,5.43
173,2012-09-03 06시,5.42
174,2012-09-03 07시,5.36
175,2012-09-03 08시,5.27
176,2012-09-03 09시,5.18
177,2012-09-03 10시,5.1
178,2012-09-03 11시,5.09
179,2012-09-03 12시,5.07
180,2012-09-03 13시,5.04
181,2012-09-03 14시,5.03
182,2012-09-03 15시,5.03
183,2012-09-03 16시,5.03
184,2012-09-03 17시,5.02
185,2012-09-03 18시,5.03
186,2012-09-03 19시,5.06
187,2012-09-03 20시,5.07
188,2012-09-03 21시,5.08
189,2012-09-03 22시,5.1
190,2012-09-03 23시,5.1
191,2012-09-03 24시,5.1
192,2012-09-04 01시,5.1
193,2012-09-04 02시,5.16
194,2012-09-04 03시,5.22
195,2012-09-04 04시,5.26
196,2012-09-04 05시,5.29
197,2012-09-04 06시,5.31
198,2012-09-04 07시,5.33
199,2012-09-04 08시,5.34
200,2012-09-04 09시,5.35
201,2012-09-04 10시,5.25
202,2012-09-04 11시,5.19
203,2012-09-04 12시,5.16
204,2012-09-04 13시,5.17
205,2012-09-04 14시,5.17
206,2012-09-04 15시,5.17
207,2012-09-04 16시,5.22
208,2012-09-04 17시,5.24
209,2012-09-04 18시,5.25
210,2012-09-04 19시,5.27
211,2012-09-04 20시,5.29
212,2012-09-04 21시,5.3
213,2012-09-04 22시,5.27
214,2012-09-04 23시,5.28
215,2012-09-04 24시,5.25
216,2012-09-05 01시,5.29
217,2012-09-05 02시,5.3
218,2012-09-05 03시,5.3
