,Unnamed: 단위(mm),길곡강수량,대병강수량,창녕강수량,창덕강수량,함안강수량,date,time
0,0,0.0,0.0,0.0,0.0,0.0,2012-08-27,1
1,1,0.0,0.0,0.0,0.0,0.0,2012-08-27,2
2,2,0.0,0.0,0.0,0.0,0.0,2012-08-27,3
3,3,0.0,0.0,0.0,0.0,0.0,2012-08-27,4
4,4,0.0,0.0,0.0,0.0,0.0,2012-08-27,5
5,5,0.0,0.0,0.0,0.0,0.0,2012-08-27,6
6,6,0.0,0.0,0.0,0.0,0.0,2012-08-27,7
7,7,0.0,0.0,0.0,0.0,0.0,2012-08-27,8
8,8,0.0,0.0,0.0,0.0,0.0,2012-08-27,9
9,9,0.0,0.0,0.0,0.0,0.0,2012-08-27,10
10,10,0.0,0.0,0.0,0.0,0.0,2012-08-27,11
11,11,0.0,0.0,0.0,0.0,0.0,2012-08-27,12
12,12,0.0,0.0,0.0,0.0,0.0,2012-08-27,13
13,13,0.0,0.0,0.0,0.0,0.0,2012-08-27,14
14,14,0.0,0.0,0.0,0.0,0.0,2012-08-27,15
15,15,0.0,0.0,0.0,0.0,0.0,2012-08-27,16
16,16,1.0,0.0,0.0,0.0,0.0,2012-08-27,17
17,17,0.5,0.0,0.0,0.0,0.0,2012-08-27,18
18,18,0.5,0.0,0.0,0.5,0.0,2012-08-27,19
19,19,0.0,0.0,0.0,0.0,0.0,2012-08-27,20
20,20,0.0,0.0,0.0,0.0,0.0,2012-08-27,21
21,21,0.0,0.0,0.0,0.0,0.0,2012-08-27,22
22,22,0.0,0.0,0.0,0.0,0.0,2012-08-27,23
23,23,0.0,0.0,0.0,0.0,1.0,2012-08-28,0
24,24,1.0,5.0,0.5,1.5,6.5,2012-08-28,1
25,25,2.5,6.0,3.0,4.0,4.0,2012-08-28,2
26,26,2.5,4.0,1.5,3.0,2.0,2012-08-28,3
27,27,1.5,2.0,1.5,1.0,1.5,2012-08-28,4
28,28,0.5,2.0,0.0,0.5,1.0,2012-08-28,5
29,29,8.0,17.0,3.0,2.0,6.0,2012-08-28,6
30,30,0.5,5.5,4.5,1.0,4.5,2012-08-28,7
31,31,0.0,13.0,2.0,0.5,6.0,2012-08-28,8
32,32,6.0,4.0,6.0,9.0,11.5,2012-08-28,9
33,33,7.5,1.5,5.5,9.0,6.0,2012-08-28,10
34,34,7.5,8.5,4.5,1.5,1.5,2012-08-28,11
35,35,3.5,2.0,2.5,0.5,2.5,2012-08-28,12
36,36,3.0,1.5,0.0,2.0,2.5,2012-08-28,13
37,37,1.5,2.0,0.5,0.0,0.0,2012-08-28,14
38,38,0.5,2.0,0.5,1.0,0.5,2012-08-28,15
39,39,0.0,2.5,0.5,0.0,0.5,2012-08-28,16
40,40,0.0,3.0,0.0,0.0,0.0,2012-08-28,17
41,41,0.0,2.0,0.0,0.0,0.0,2012-08-28,18
42,42,0.0,1.5,0.0,0.0,0.0,2012-08-28,19
43,43,0.0,1.0,0.0,0.0,0.0,2012-08-28,20
44,44,0.0,0.0,0.0,0.0,0.0,2012-08-28,21
45,45,0.0,0.0,0.0,0.0,0.0,2012-08-28,22
46,46,0.0,0.5,0.0,0.0,0.0,2012-08-28,23
47,47,0.0,0.0,0.0,0.0,0.0,2012-08-29,0
48,48,0.0,0.0,0.0,0.0,0.0,2012-08-29,1
49,49,0.0,0.0,0.0,0.0,0.0,2012-08-29,2
50,50,0.0,0.0,0.0,0.0,0.0,2012-08-29,3
51,51,0.0,0.0,0.0,0.0,0.0,2012-08-29,4
52,52,0.0,0.0,0.0,0.0,0.0,2012-08-29,5
53,53,0.0,0.0,0.0,0.0,0.0,2012-08-29,6
54,54,0.0,0.0,0.0,0.0,0.0,2012-08-29,7
