Unnamed: 0,수위,총유입량,총방류량
6671,4.91,426.478,185.45
6672,4.92,248.571,188.293
6673,4.94,310.825,190.325
6674,4.98,434.304,193.276
6675,5.0,317.305,196.777
6676,5.02,272.919,206.947
6677,5.05,318.152,219.208
6678,5.07,341.143,275.171
6679,5.07,335.431,335.431
6680,5.07,334.852,334.852
6681,5.08,370.282,337.31
6682,5.08,340.818,340.818
6683,5.08,341.458,341.458
6684,5.08,341.631,341.631
6685,5.08,342.589,342.589
6686,5.08,342.636,342.636
6687,5.08,342.466,342.466
6688,5.08,343.019,343.019
6689,5.08,342.869,342.869
6690,5.08,343.419,343.419
6691,5.08,343.939,343.939
6692,5.08,343.517,343.517
6693,5.08,343.111,343.111
6694,5.09,377.615,344.615
6695,5.11,420.481,354.537
6696,5.13,456.05,390.078
6697,5.14,515.28,482.28
6698,5.15,491.193,458.221
6699,5.15,496.207,496.207
6700,5.16,540.453,507.481
6701,5.16,508.525,508.525
6702,5.16,508.852,508.852
6703,5.16,508.602,508.602
6704,5.16,508.77,508.77
6705,5.16,508.832,508.832
6706,5.16,508.582,508.582
6707,5.16,508.053,508.053
6708,5.16,507.654,507.654
6709,5.16,507.564,507.564
6710,5.16,507.55,507.55
6711,5.16,507.745,507.745
6712,5.15,470.076,503.048
6713,5.13,429.165,495.137
6714,5.11,412.436,478.408
6715,5.09,374.286,440.23
6716,5.08,335.452,368.452
6717,5.07,328.738,361.71
6718,5.07,357.222,357.222
6719,5.06,319.461,352.461
6720,5.06,299.322,299.322
6721,5.06,284.28,284.28
6722,5.06,284.075,284.075
6723,5.06,283.86,283.86
6724,5.06,283.764,283.764
6725,5.06,283.24,283.24
6726,5.06,282.974,282.974
6727,5.06,282.835,282.835
6728,5.07,318.779,285.779
6729,5.07,340.239,340.239
6730,5.07,594.468,594.468
6731,5.05,501.35,567.322
6732,5.04,526.206,559.178
6733,5.03,517.812,550.812
6734,5.01,384.066,450.038
6735,5.01,296.554,296.554
6736,5.02,318.45,285.45
6737,5.13,606.198,243.392
6738,5.13,367.228,367.228
6739,5.11,332.301,398.273
6740,5.13,458.3,392.328
6741,5.16,515.494,416.55
6742,5.16,422.632,422.632
6743,5.17,429.517,429.517
6744,5.18,465.613,432.641
6745,5.19,444.689,411.689
6746,5.2,365.993,333.021
6747,5.2,335.943,335.943
6748,5.2,336.095,336.095
6749,5.19,297.827,330.799
6750,5.19,329.667,329.667
6751,5.19,329.68,329.68
6752,5.19,329.615,329.615
6753,5.19,329.565,329.565
6754,5.19,329.616,329.616
6755,5.22,435.149,336.205
6756,5.24,420.031,354.059
6757,5.27,657.531,558.587
6758,5.23,981.274,1113.218
6759,5.18,917.516,1082.433
6760,5.14,644.754,776.671
6761,5.08,127.637,325.554
6762,5.05,195.861,294.805
6763,5.03,209.804,275.776
6764,5.02,237.253,270.225
6765,5.01,230.642,263.642
6766,4.99,161.125,254.347
6767,4.98,119.314,179.592
6768,4.98,150.203,150.203
6769,4.98,147.61,147.61
6770,4.97,86.952,147.202
6771,4.97,147.133,147.133
6772,4.97,147.067,147.067
6773,4.97,147.182,147.182
6774,4.97,146.948,146.948
6775,4.97,130.073,130.073
6776,4.98,108.695,48.445
6777,4.99,108.556,48.278
6778,5.0,108.732,48.482
6779,5.02,118.702,52.73
6780,5.03,98.005,65.033
6781,5.05,142.275,76.303
6782,5.08,225.712,126.768
6783,5.1,223.913,157.941
6784,5.11,202.661,169.689
6785,5.13,244.867,178.895
6786,5.13,185.216,185.216
6787,5.13,185.206,185.206
6788,5.14,222.959,189.959
6789,5.15,230.985,198.013
6790,5.16,254.224,221.252
6791,5.16,245.365,245.365
6792,5.19,352.825,253.853
6793,5.21,335.149,269.205
