Unnamed: 0,Unnamed: 단위(mm),길곡강수량,대병강수량,창녕강수량,창덕강수량,함안강수량,date,time
6671,6671,0.0,0.0,0.0,0.0,0.0,2013-06-01,0
6672,6672,0.0,0.0,0.0,0.0,0.0,2013-06-01,1
6673,6673,0.0,0.0,0.0,0.0,0.0,2013-06-01,2
6674,6674,0.0,0.0,0.0,0.0,0.0,2013-06-01,3
6675,6675,0.0,0.0,0.0,0.0,0.0,2013-06-01,4
6676,6676,0.0,0.0,0.0,0.0,0.0,2013-06-01,5
6677,6677,0.0,0.0,0.0,0.0,0.0,2013-06-01,6
6678,6678,0.0,0.0,0.0,0.0,0.0,2013-06-01,7
6679,6679,0.0,0.0,0.0,0.0,0.0,2013-06-01,8
6680,6680,0.0,0.0,0.0,0.0,0.0,2013-06-01,9
6681,6681,0.0,0.0,0.0,0.0,0.0,2013-06-01,10
6682,6682,0.0,0.0,0.0,0.0,0.0,2013-06-01,11
6683,6683,0.0,0.0,0.0,0.0,0.0,2013-06-01,12
6684,6684,0.0,0.0,0.0,0.0,0.0,2013-06-01,13
6685,6685,0.0,0.0,0.0,0.0,0.0,2013-06-01,14
6686,6686,0.0,0.0,0.0,0.0,0.0,2013-06-01,15
6687,6687,0.0,0.0,0.0,0.0,0.0,2013-06-01,16
6688,6688,0.0,0.0,0.0,0.0,0.0,2013-06-01,17
6689,6689,0.0,0.0,0.0,0.0,0.0,2013-06-01,18
6690,6690,0.0,0.0,0.0,0.0,0.0,2013-06-01,19
6691,6691,0.0,0.0,0.0,0.0,0.0,2013-06-01,20
6692,6692,0.0,0.0,0.0,0.0,0.0,2013-06-01,21
6693,6693,0.0,0.0,0.0,0.0,0.0,2013-06-01,22
6694,6694,0.0,0.0,0.0,0.0,0.0,2013-06-01,23
6695,6695,0.0,0.0,0.0,0.0,0.0,2013-06-02,0
6696,6696,0.0,0.0,0.0,0.0,0.0,2013-06-02,1
6697,6697,0.0,0.0,0.0,0.0,0.0,2013-06-02,2
6698,6698,0.0,0.0,0.0,0.0,0.0,2013-06-02,3
6699,6699,0.0,0.0,0.0,0.0,0.0,2013-06-02,4
6700,6700,0.0,0.0,0.0,0.0,0.0,2013-06-02,5
6701,6701,0.0,0.0,0.0,0.0,0.0,2013-06-02,6
6702,6702,0.0,0.0,0.0,0.0,0.0,2013-06-02,7
6703,6703,0.0,0.0,0.0,0.0,0.0,2013-06-02,8
6704,6704,0.0,0.0,0.0,0.0,0.0,2013-06-02,9
6705,6705,0.0,0.0,0.0,0.0,0.0,2013-06-02,10
6706,6706,0.0,0.0,0.0,0.0,0.0,2013-06-02,11
6707,6707,0.0,0.0,0.0,0.0,0.0,2013-06-02,12
6708,6708,0.0,0.0,0.0,0.0,0.0,2013-06-02,13
6709,6709,0.0,0.0,0.0,0.0,0.0,2013-06-02,14
6710,6710,0.0,0.0,0.0,0.0,0.0,2013-06-02,15
6711,6711,0.0,0.0,0.0,0.0,0.0,2013-06-02,16
