,수위,총유입량,총방류량
0,5.45,2012.95,1979.978
1,5.45,1985.586,1985.586
2,5.45,1929.865,1929.865
3,5.45,1928.188,1928.188
4,5.45,1927.172,1927.172
5,5.45,1925.843,1925.843
6,5.45,1926.406,1926.406
7,5.45,1982.498,1982.498
8,5.44,1945.438,1978.41
9,5.41,1990.185,2089.157
10,5.34,1944.693,2175.554
11,5.24,1745.405,2075.238
12,5.16,1668.169,1932.058
13,5.1,1716.659,1914.548
14,5.05,1694.844,1859.761
15,5.02,1716.704,1815.648
16,4.98,1588.541,1775.041
17,4.91,1253.379,1675.185
18,4.81,1031.073,1633.656
19,4.72,938.062,1480.368
20,4.63,934.078,1476.411
21,4.56,918.482,1340.288
22,4.6,1629.539,1388.511
23,4.69,2001.873,1459.54
24,4.78,2087.008,1544.702
25,4.87,2118.25,1575.917
26,4.95,2136.058,1653.975
27,5.0,2013.256,1711.978
28,5.01,1828.296,1795.324
29,5.01,1750.417,1750.417
30,4.96,1445.412,1719.412
31,4.87,1099.772,1642.105
32,4.79,1125.701,1607.757
33,4.73,1106.559,1468.115
34,4.73,1239.045,1239.045
35,4.73,1235.36,1235.36
36,4.74,1335.957,1275.707
37,4.77,1443.095,1262.317
38,4.8,1502.182,1321.404
39,4.88,1541.042,1058.986
40,4.93,1451.712,1150.406
41,4.97,1427.696,1186.668
42,5.06,1302.214,923.547
43,5.14,1083.469,819.58
44,5.16,910.498,844.554
45,5.2,998.421,866.477
46,5.28,1201.182,937.321
47,5.28,1315.251,1315.251
48,5.33,1474.999,1310.082
49,5.4,1663.949,1433.06
50,5.66,2380.807,1563.696
51,5.85,2467.714,1889.047
52,5.98,2437.229,2041.312
53,6.06,2548.732,2187.01
54,6.1,2485.115,2284.559
55,5.91,1726.728,2502.2
56,5.66,1491.66,2253.049
57,5.62,2005.524,2127.33
58,5.58,1927.177,2049.01
59,5.62,2186.354,2064.521
60,5.63,2115.937,2085.493
61,5.63,2092.236,2092.236
62,5.63,2094.709,2094.709
63,5.63,2095.837,2095.837
64,5.61,2022.027,2082.944
65,5.44,1418.885,1951.774
66,5.3,1334.379,1796.157
67,5.21,0.0,0.0
68,5.14,0.0,0.0
69,5.14,1585.29,1552.29
70,5.19,1752.18,1587.263
71,5.24,1806.158,1641.241
72,5.29,1849.037,1684.12
73,5.33,1867.072,1735.155
74,5.36,1870.374,1771.43
75,5.38,1858.538,1792.566
76,5.39,1842.011,1809.011
77,5.4,1849.996,1817.024
78,5.41,1856.001,1823.029
79,5.41,1831.976,1831.976
80,5.41,1829.896,1829.896
81,5.41,1828.645,1828.645
82,5.33,1541.31,1805.171
83,5.19,1207.2,1668.95
84,5.14,1406.038,1570.955
85,5.16,1645.813,1579.869
86,5.25,1919.68,1622.819
87,5.35,2059.81,1729.977
88,5.42,2044.436,1813.547
89,5.54,2264.372,1878.678
90,5.58,2248.458,2126.652
91,5.63,2376.093,2223.815
92,5.65,2439.641,2378.724
