,Unnamed: 0,창녕함안보_수위(EL.m)
0,2012-08-27 01:00:00,5.45
1,2012-08-27 02:00:00,5.45
2,2012-08-27 03:00:00,5.45
3,2012-08-27 04:00:00,5.45
4,2012-08-27 05:00:00,5.45
5,2012-08-27 06:00:00,5.45
6,2012-08-27 07:00:00,5.45
7,2012-08-27 08:00:00,5.45
8,2012-08-27 09:00:00,5.44
9,2012-08-27 10:00:00,5.41
10,2012-08-27 11:00:00,5.34
11,2012-08-27 12:00:00,5.24
12,2012-08-27 13:00:00,5.16
13,2012-08-27 14:00:00,5.1
14,2012-08-27 15:00:00,5.05
15,2012-08-27 16:00:00,5.02
16,2012-08-27 17:00:00,4.98
17,2012-08-27 18:00:00,4.91
18,2012-08-27 19:00:00,4.81
19,2012-08-27 20:00:00,4.72
20,2012-08-27 21:00:00,4.63
21,2012-08-27 22:00:00,4.56
22,2012-08-27 23:00:00,4.6
23,2012-08-28 00:00:00,4.69
24,2012-08-28 01:00:00,4.78
25,2012-08-28 02:00:00,4.87
26,2012-08-28 03:00:00,4.95
27,2012-08-28 04:00:00,5.0
28,2012-08-28 05:00:00,5.01
29,2012-08-28 06:00:00,5.01
30,2012-08-28 07:00:00,4.96
31,2012-08-28 08:00:00,4.87
32,2012-08-28 09:00:00,4.79
33,2012-08-28 10:00:00,4.73
34,2012-08-28 11:00:00,4.73
35,2012-08-28 12:00:00,4.73
36,2012-08-28 13:00:00,4.74
37,2012-08-28 14:00:00,4.77
38,2012-08-28 15:00:00,4.8
39,2012-08-28 16:00:00,4.88
40,2012-08-28 17:00:00,4.93
41,2012-08-28 18:00:00,4.97
42,2012-08-28 19:00:00,5.06
43,2012-08-28 20:00:00,5.14
44,2012-08-28 21:00:00,5.16
45,2012-08-28 22:00:00,5.2
46,2012-08-28 23:00:00,5.28
47,2012-08-29 00:00:00,5.28
48,2012-08-29 01:00:00,5.33
49,2012-08-29 02:00:00,5.4
50,2012-08-29 03:00:00,5.66
51,2012-08-29 04:00:00,5.85
